id,clicks,others,riddle_1,riddle_2,riddle_3,riddle_4,riddle_5,back,commissions,distractionPot,distractionTimer,distractionWords,forward,left,omissions,om1,om2,om3,om4,om5,om6,right,p1a,p1b,p1c,p1m,p4a,p4b,p4c,p4d,p4m,p4m,p5a,p5b,p5c,p5d,p5m
44,33,distractionPotStartedpickdistractionAlarmstopeddistractioAlarmStartedpickdistractionPotstopeddistractionPotStarteddistractionPotStarteddistractioAlarmStarteddistractionPotStartedPuzzle1distractionPotStarteddistractionPotStartedPuzzle1distractionPotStarteddistractionPotStartedPuzzle1distractionPotStarteddistractionPotStartedPuzzle1distractionPotStarteddistractionPotStartedpuzzle2distractionPotStartedpuzzle2distractionPotStartedpuzzle2puzzle2distractionPotStarteddistractionPotStarteddistractionPotStarteddistractionPotStartedpickpuzzle3puzzle2pickpuzzle3distractionPotStarteddistractionPotStartedPuzzle4Puzzle4distractionPotStartedPuzzle4distractionPotStartedPuzzle4Puzzle4distractionPotStarteddistractionPotStartedpickdistractionPotStartedpickpickdistractionPotStarteddistractionPotStarteddistractionPotStarteddistractionPotStarteddistractionPotStartedpickpickdistractionPotStartedpickpickdistractionPotStarteddistractionPotStarteddistractionPotStartedpickpickdistractionPotStarteddistractionPotStarteddistractionPotStartedcookcookcook,"{5.76163864,7.52111864,8.767357,10.1667671}","{15.388833,16.3070412,19.28853}","{-19.203516,19.6647434}","{22.1595821,23.0713425,23.8440132,24.6764431,25.4667568}","{29.0115776,32.3960381,33.8755569,35.71771,38.3372879,38.3372879,38.3372879}",0.830925167,"{0,0}",2.374036-2.848883-4.447627,-1.5433042.9503-2.994078-4.053238-4.577247-5.899848-6.007768-8.284176-8.724448-9.690692-9.925962-11.41737-12.76905-13.74265-14.7244-16.63559-17.1465-18.30457-18.52004-20.69146-21.37548-23.6737-24.24673-26.52199-26.68276-27.79668-29.32798-29.61902-30.56042,,6.733.301,237.752.056,"{0,0,2,2,9,0}",0,0,2,2,9,0,2.314.722,"175,948","124,623,836","13,994,101","13,994,101","0,9117604","0,7726707","0,8324299","0,3235569","0,8025503","33,844,605","14,795,188","18,421,531","383372843,3",0,"18,421,531"
45,33,pickdistractionPotstopedpickdistractionAlarmstopedPuzzle1Puzzle1Puzzle1Puzzle1puzzle2puzzle2puzzle2distractionPotStartedpickpuzzle3puzzle2pickpuzzle3Puzzle4Puzzle4Puzzle4Puzzle4Puzzle4pickpickdistractionPotstopedpickdistractionAlarmstopedpickpickpickpickpickpickpickpickdistractioAlarmStartedcookcookcook,"{9.90214,11.93736,13.9928827,15.6098}","{20.3685856,23.1503544}","{-24.5118523,24.9070034}","{27.1374264,27.90156,28.6074238,29.30506,30.0962276}","{37.133213,38.1786423,41.2308,43.7183723,46.3314476,46.3314476,46.3314476}",125.446.165,"{0,0}",6.7362434.99026-44.47307,6.123055-23.5886834.14752,,7.905.987,3.284.479,"{0,0,2,2,11,0}",0,0,2,2,11,0,3.185.334,"203,522","20,555,227","16,169,173","203,522","0,7641336","0,7058638","0,6976362","0,69494","0,70175","10,454,293","30,521,577","24,875,723","463314432,3",0,"24,875,723"
46,28,pickdistractionPotstopedpickdistractionAlarmstopedPuzzle1Puzzle1Puzzle1Puzzle1puzzle2puzzle2puzzle2puzzle2distractioAlarmStartedpickpuzzle3Puzzle4pickdistractionAlarmstopedPuzzle4Puzzle4Puzzle4Puzzle4distractioAlarmStartedpickpickdistractionAlarmstopedpickpickdistractioAlarmStartedpickpickpickdistractionAlarmstopedpickpickpickpickcookcookcook,"{21.4664,24.5522976,26.1770229,28.2494621}","{33.2599945,34.213398}",{36.88101},"{39.26174,42.98291,43.8126678,44.6377258,45.381424}","{51.6531219,53.3094978,57.54581,61.0819473,62.5087852,62.5087852,62.5087852}",137.529.922,"{0,0}",17.81912-34.4552540.80278-47.1744649.86281-53.0542755.75136,1.669.619,,980.281.448,377.990.437,"{0,0,1,2,11,0}",0,0,1,2,11,0,522.036.362,"30,858,976","16,247,253","20,724,392","20,724,392","372,117","0,8297578","0,825058","0,3622742","0,8274079","16,563,759","42,363,122","35,361,373","625087790,9",0,"35,361,373"
47,29,pickdistractionAlarmstopedpickdistractionPotstopedPuzzle1Puzzle1Puzzle1Puzzle1Puzzle1puzzle2puzzle2puzzle2puzzle2pickpuzzle3distractioAlarmStartedPuzzle4Puzzle4distractionPotStartedpickdistractionAlarmstopedpickdistractionPotstopedPuzzle4Puzzle4Puzzle4pickpickpickpickpickpickpickpickpickdistractioAlarmStartedcookcookcook,"{7.419501,10.5633278,12.0194159,14.1262331}","{18.8903923,19.8154182}",{21.76483},"{24.1696987,25.07222,30.8127384,31.585619,32.3048935}","{37.4313622,41.74329,44.077774,46.141304,46.141304,46.141304}",144.355.214,"{0,1}",2.895309-23.5059126.89063-44.86471,3.726135-26.1613627.89197,,7.711.267,204.764.867,"{1,0,1,2,11,0}",1,0,1,2,11,0,42.364.397,"31,438,268","14,560,881","21,068,172","21,068,172","0,9025213","57,405,184","0,7728806","0,414381","0,83770095","43,119,278","2,334,484","206,353","46141257,86",0,"2,334,484"
48,32,pickdistractionPotstopedpickdistractionAlarmstopedPuzzle1Puzzle1Puzzle1Puzzle1distractioAlarmStartedpuzzle2pickdistractionAlarmstopedpuzzle2puzzle2puzzle2pickpuzzle3puzzle2pickpuzzle3Puzzle4Puzzle4Puzzle4Puzzle4Puzzle4pickpickpickpickpickdistractioAlarmStartedpickpickpickdistractionAlarmstopedpickpickcookcookcook,"{5.655751,7.096128,8.931007,10.63127}","{17.9915085,18.991827,20.62478}","{-20.5481968,21.8375549}","{23.73373,24.46794,25.1629257,25.92331,26.6195621}","{30.2892551,31.7383213,38.20124,40.9214134,42.8388977,42.8388977,42.8388977}",152.747.071,"{0,0}",2.858481-11.9783314.31672-37.0063340.04784,2.332.343,,6.575.501,30.954.237,"{0,0,2,2,11,0}",0,0,2,2,11,0,378.258.467,"1,440,377","1,834,879","1,700,263","1,700,263","0,73421","0,6949857","0,7603843","0,07669","0,71459785","14,490,662","64,629,187","27,201,734","428388936,1",0,"27,201,734"
49,28,pickdistractionPotstopedpickdistractionAlarmstopedPuzzle1Puzzle1Puzzle1Puzzle1Puzzle1Puzzle1puzzle2puzzle2distractionSpeakpuzzle2pickpuzzle3puzzle2pickpuzzle3Puzzle4distractioAlarmStartedPuzzle4distractionSpeakpickdistractionAlarmstopedpickdistractionPotstopedPuzzle4Puzzle4Puzzle4pickpickpickpickpickpickpickpickpickcookcookcook,"{15.1571922,18.827158,20.66216,22.3637028}","{27.3014965,30.479929}","{-30.4132957,30.8296967}","{32.86488,34.1265945,38.4888763,39.22289,40.2905159}","{46.9140778,48.781498,50.51782,52.3781052,52.3781052,52.3781052}",0.726541042,"{0,2}",9.935628-33.1985135.45431,8.834.733.631.358,,589.323,0.8600254,"{2,0,2,2,12,0}",2,0,2,2,12,0,307.175.255,"36,699,658","1,835,002","17,015,428","1,835,002","12,617,145","43,622,818","0,7340137","0,77711","101,941,225","18,674,202","1,736,322","18,602,852","523780999,6",0,"18,602,852"
67,28,pickdistractionPotstopedpickdistractionAlarmstopedPuzzle1Puzzle1Puzzle1Puzzle1Puzzle1Puzzle1puzzle2puzzle2puzzle2puzzle2pickpuzzle3Puzzle4Puzzle4Puzzle4Puzzle4Puzzle4pickpickpickpickpickpickpickpickpickcookcookcook,"{9.582311,10.95934,12.137886,13.7187481}","{19.6972065,20.53154}",{21.48922},"{23.1695175,23.9247169,24.6170864,25.3451366,26.0368958}","{31.6181278,34.3796539,36.06246,37.6453857,37.6453857,37.6453857}",11.087.836,"{0,2}",3.682.894,2.970.482,,651.110.458,177.091.062,"{2,0,1,2,9,0}",2,0,1,2,9,0,385.372.519,"1,377,029","1,178,546","15,808,621","1,377,029","0,7551994","0,6923695","0,7280502","0,6548634","0,71020985","27,615,261","16,828,061","15,829,257","376453819,4",0,"16,828,061"
68,48,pickdistractionPotstopedpickdistractionPotstopedpickdistractionSpeakdistractionPotStartedPuzzle1Puzzle1Puzzle1Puzzle1Puzzle1distractionPotStartedPuzzle1distractionPotStartedPuzzle1distractioAlarmStartedpuzzle2distractionPotStarteddistractionPotStartedpickdistractionAlarmstopedpuzzle2puzzle2puzzle2puzzle2puzzle2pickpuzzle3Puzzle4distractionPotStartedPuzzle4Puzzle4distractionPotStartedPuzzle4Puzzle4Puzzle4Puzzle4pickpickdistractionPotstopeddistractionPotStarteddistractioAlarmStartedpickdistractionAlarmstopedpickpickdistractionPotStartedcookdistractionPotStarteddistractionPotStarteddistractionPotStartedpickpickpickpickdistractioAlarmStartedpickpickpickdistractionAlarmstopedcookdistractionPotStartedpickpickcook,"{1668.01843,1697.63464,1704.9845,1712.83447}","{1719.08459,1744.00085,1745.51746}",{1764.65051},"{1796.3667,1799.03345,1801.33337,1802.53333,1804.93335}","{1833.49963,1837.36633,1900.0155,1921.81506,1927.715,1930.83167}",8.516.634,"{0,3}","-1713,7011736,101-1822,61825,4-1898,3651915,332","1606,5031610,236-1667,335-1699,468-1710,968-1720,584-1721,968-1770,1-1797,051818,65-1821,266-1834,7-1846,516-1861,883-1862,649-1926,665",,234.005.661,143.168.373,"{3,0,1,5,16,0}",3,0,1,5,16,0,127.166.824,"2,961,621","734,986","784,997","784,997","266,675","229,992","119,996","146,667","1,883,295","38,667","6,264,917","2,179,956",1925793185,191155452,"6,264,917"
69,46,pickdistractionPotstopedpickpickdistractionPotstopedpickdistractionPotstopedpickdistractionAlarmstopedpickpickdistractioAlarmStarteddistractionSpeakdistractionSpeakpickpickdistractioAlarmStarteddistractionPotStartedpickpickpickdistractionPotstopeddistractionPotStartedpickdistractionAlarmstopeddistractionPotStarteddistractionPotStartedPuzzle1Puzzle1distractioAlarmStartedPuzzle1distractionPotStartedPuzzle1Puzzle1Puzzle1distractionPotStarteddistractionPotStartedPuzzle1puzzle2distractionPotStartedpuzzle2distractionPotStartedpuzzle2puzzle2puzzle2puzzle2distractionPotStarteddistractionPotStartedpickpuzzle3distractionPotStarteddistractionPotStartedPuzzle4Puzzle4Puzzle4Puzzle4Puzzle4Puzzle4distractionPotStarteddistractionPotStarteddistractionPotStarteddistractionPotStartedpickdistractionPotStartedcookpickpickpickpickcookpickpickdistractionPotStartedcook,"{689.2215,695.8215,738.4375,744.6042}","{754.1707,761.203735,768.3539,772.087036,774.1537}",{814.0699},"{842.902832,849.0528,854.802734,857.652649,860.8192}","{598.855957,649.655334,882.6691,897.8855,903.7687,921.985168,925.801941}",153.309,"{0,3}","594,9393-614,3224-640,0721666,6216-691,5715","562,1064591,7894593,1561-640,3721657,1219-661,0053-669,305-669,3884-703,1713-741,6708-741,821-757,5873-763,5705-780,537-812,47-830,0696-833,2029-861,1526-862,0193-862,6193-869,719-872,0356-924,2186",,3.610.004,0,"{3,0,1,2,17,0}",3,0,1,2,17,0,0,"6,6",42616,"61,667","6,6","6,149,968","5,749,934","2,849,915","2,347,351","42,999,245","50,799,377","233,013,766","152,164",9036789115,912947481,"233,013,766"
70,30,Puzzle1Puzzle1Puzzle1distractionPotStartedPuzzle1pickdistractionPotstopedpuzzle2puzzle2puzzle2puzzle2puzzle2pickpuzzle3distractionPotStartedPuzzle4Puzzle4Puzzle4Puzzle4Puzzle4pickdistractionPotstopedpickpickpickcookdistractionPotStartedpickpickdistractionPotStarteddistractionPotStartedcookdistractionPotStartedpickpickdistractionPotStarteddistractioAlarmStartedpickdistractionAlarmstopedpickpickcook,"{340.635864,345.035675,348.169067,355.319}","{364.668732,366.352173}",{367.268829},"{377.435333,382.201935,389.468567,391.618561,393.00177}","{405.2684,407.40152,417.418182,427.834534,451.4844,456.8177}",430.084.038,"{0,0}","-44,465,124,475,177","-348,9857357,2521-373,2188398,1017-408,3349-417,7182-425,7848-432,9347-439,3512",,178.834.724,6.915.987,"{0,0,1,3,10,0}",0,0,1,3,10,0,8.566.755,"4,399,811","3,133,392","7,149,933","4,399,811","4,766,602","7,266,632","2,149,994","1,381,439","3,458,298","213,312","10,016,662","10,416,352",4514416165,53333,"10,416,352"
71,38,Puzzle1Puzzle1Puzzle1Puzzle1distractionPotStarteddistractioAlarmStartedPuzzle1pickdistractionAlarmstopedpickdistractionPotstopedPuzzle1puzzle2puzzle2puzzle2pickpuzzle3Puzzle4distractionPotStartedPuzzle4Puzzle4Puzzle4Puzzle4pickdistractionPotstopedpickdistractionPotStartedpickpickpickpickpickpickpickdistractionPotstopedcookcookpickpickcook,"{49.14643,54.8964424,57.879734,66.496254}",{73.31284},{74.76266},"{77.99614,83.3794,84.32941,85.6126862,86.82938}","{96.3625946,98.41263,105.729073,105.729073,107.345665,107.928978}",159.987.271,"{0,2}","-5,754,645,994,633","-55,4630261,59624-80,8793788,57934-95,5125104,9124",,9.332.947,3.916.345,"{2,0,1,2,11,0}",2,0,1,2,11,0,32.666.285,"57,500,124","29,832,916","861,652","57,500,124","538,326","0,95001","12,832,762","0,3873138","11,166,431","20,500,354","7,316,443",0,"107345559,3",583313,"7,316,443"
72,32,distractioAlarmStartedpickdistractionAlarmstopedPuzzle1Puzzle1Puzzle1Puzzle1puzzle2puzzle2puzzle2puzzle2puzzle2pickpuzzle3Puzzle4Puzzle4Puzzle4Puzzle4distractionPotStartedPuzzle4Puzzle4Puzzle4distractioAlarmStartedpickdistractionAlarmstopedpickpickpickpickpickdistractioAlarmStartedpickpickpickdistractionAlarmstopedcookcookpickpickcook,"{22.8397884,25.389719,32.4229622,34.006382}","{42.12286,46.9228859}",{47.8561058},"{62.22266,76.35585,80.9391,83.7890549,85.60564}","{103.255493,106.805405,109.888695,115.055237,115.055237,120.8885,122.305138}",12.330.327,"{0,0}","-7,98999311,40667-92,5056696,10562-109,2055112,572","-769,558",,7.983.108,308.355.021,"{0,0,1,5,9,0}",0,0,1,5,9,0,2.850.056,"25,499,306","70,332,432","15,834,198","25,499,306","1,413,319","458,325","28,499,549","12,109,451","371,660,245","3,549,912","308,329","5,166,542","115055121,9",-113846352,"3,549,912"
73,99,pickdistractionPotstopedpickdistractionPotstopedpickdistractionPotstopedpickdistractionPotstopedpickdistractionPotstopedpickdistractionAlarmstopeddistractioAlarmStartedpickdistractionAlarmstopedpickdistractionAlarmstopedpickdistractionAlarmstopedpickdistractionAlarmstopedpickdistractionAlarmstopedpickdistractionAlarmstopeddistractionPotStartedPuzzle1distractionPotStarteddistractionPotStartedPuzzle1Puzzle1Puzzle1Puzzle1distractionSpeakdistractionSpeakdistractioAlarmStarteddistractioAlarmStartedpickdistractionAlarmstopedpickdistractionAlarmstopeddistractioAlarmStarteddistractionPotStarteddistractionPotStarteddistractionPotStartedpickdistractionAlarmstopedpickdistractionAlarmstopedpickdistractionAlarmstopeddistractioAlarmStartedPuzzle1distractioAlarmStartedPuzzle1distractionPotStarteddistractionPotStarteddistractioAlarmStartedPuzzle1distractioAlarmStarteddistractioAlarmStarteddistractioAlarmStartedpickdistractioAlarmStarteddistractioAlarmStartedpickdistractionPotStartedPuzzle1Puzzle1pickdistractionSpeakdistractionPotStarteddistractioAlarmStartedpickdistractionAlarmstopeddistractionPotStarteddistractionPotStartedpuzzle2puzzle2puzzle2pickpuzzle3distractioAlarmStarteddistractionPotStartedPuzzle4Puzzle4distractionPotStarteddistractionPotStartedPuzzle4Puzzle4distractionPotStarteddistractionPotStartedPuzzle4distractionPotStartedpickdistractionPotStarteddistractionPotStarteddistractionPotStartedpickpickcookpickpickdistractionPotStarteddistractionPotStarteddistractionPotStartedpickpickcookdistractionPotStarteddistractionPotStarteddistractionPotStarteddistractionPotStartedpickpickcook,"{393.608673,444.207947,475.907623,480.324158}",{498.207367},{506.4072},"{536.890137,543.1234,547.440063,550.056641,565.639648}","{604.7892,608.105835,611.5557,639.638855,644.088745,665.071838,668.704956}",146.833.239,"{0,6}","332,6927-339,6426348,6259349,7426350,2093350,3758350,5759350,8091-408,0584-409,7417413,8417414,2917-419,7083422,9084423,0749423,2249-428,7915-439,558-443,5914-450,0912-451,358-453,5579-460,8744-465,2243-487,4573487,8075-515,0237","328,1262328,2927328,726330,5927331,9094-355,159-382,0089-384,1088-420,5083-420,8415-421,7748-440,6581-442,8913-471,9742-485,9907-488,4074-492,2407-525,4404-543,9734-545,9067-552,24-557,4066-582,1395-591,9728-593,3394-595,6228-611,7559-621,3057-634,6054-647,9221-649,4053-656,7053-664,6552",,459.011.765,189.495.583,"{6,0,1,2,27,0}",6,0,1,2,27,0,201.826.019,"50,599,274","31,699,676","4,416,535","31,699,676","6,233,263","4,316,663","2,616,578","19,943,359","5,274,963","3,316,635","3,449,865","28,083,155","644088105,4",20983093,"28,083,155"
74,61,pickPuzzle1Puzzle1Puzzle1Puzzle1Puzzle1Puzzle1distractionPotStartedPuzzle1distractionPotStartedPuzzle1Puzzle1Puzzle1pickpickdistractioAlarmStarteddistractionSpeakdistractionPotStartedpuzzle2puzzle2puzzle2pickpuzzle3pickdistractionAlarmstopedpickdistractionAlarmstopeddistractionPotStartedPuzzle4Puzzle4Puzzle4Puzzle4distractionPotStartedPuzzle4distractioAlarmStartedPuzzle4Puzzle4Puzzle4pickpickpickcookpickdistractionAlarmstopedpickdistractionPotstopedpickpickpickpickdistractioAlarmStartedpickpickpickdistractionAlarmstopedcookdistractioAlarmStartedpickdistractionAlarmstopeddistractioAlarmStarteddistractionPotStarteddistractionPotStartedpickpickcook,"{8736.658,8752.925,8757.925,8765.407}",{8783.808},{8808.523},"{8842.623,8847.557,8851.257,8853.707,8855.323}","{8871.189,8874.606,8911.056,8921.056,8954.455,8958.738}",7.366.456,"{0,6}","-8769,9258820,1248820,99-8849,0738878,856-8904,6238919,139-8931,0568932,589-8933,989","-8744,258-8752,842-8780,975-8824,607-8843,7738883,973-8943,205-8943,455",,1.983.403,738.367.128,"{6,0,1,5,18,0}",6,0,1,5,18,0,107.164.469,16267,5,7482,7482,4934,"3,7","2,45",1293,3075,3417,"36,45",10,8945533944,4283,"36,45"
75,43,distractionPotStarteddistractioAlarmStartedPuzzle1Puzzle1Puzzle1Puzzle1pickdistractionPotstopedpickdistractionPotstopedpickdistractionPotstopedpickdistractionAlarmstopedpuzzle2puzzle2puzzle2puzzle2puzzle2puzzle2distractionPotStartedpickpuzzle3distractionPotStarteddistractioAlarmStartedPuzzle4Puzzle4Puzzle4Puzzle4Puzzle4Puzzle4Puzzle4distractionPotStartedpickpickdistractionAlarmstopedpickdistractionPotstopedpickdistractionPotstopedpickdistractionPotstopedpickdistractionPotstopeddistractionPotStartedpickdistractionPotstopeddistractionPotStartedpickpickcookpickpickcookpickpickpickpickcook,"{5191.795,5201.54443,5206.69434,5209.878}","{5248.827,5250.51074,5252.52734,5253.794}",{5280.04346},"{5308.92627,5326.093,5327.90967,5328.943,5330.15967}","{5364.426,5371.12549,5377.926,5383.359,5402.509,5406.225}",738.298.941,"{5,0}","-5184,7785237,777-5293,6935341,509","-5163,6955229,4115233,215234,411-5279,06-5292,377-5330,3435344,8935346,1765347,4095348,626-5348,6595349,509-5362,492",,110.493.841,638.371.658,"{0,0,1,4,17,5}",0,0,1,4,17,5,783.389.568,"974,943","514,991","318,366","514,991","1,716,673","181,667","103,333",4057,"2,936,835","669,949","680,051",5433,5397125641,3716,"680,051"
76,33,Puzzle1Puzzle1Puzzle1Puzzle1distractionPotStarteddistractioAlarmStartedpickdistractionPotstopedpickdistractionAlarmstopedpuzzle2puzzle2pickdistractionPotstopedpuzzle2distractionSpeakpuzzle2pickpuzzle3distractionPotStartedpickdistractionPotstopeddistractionSpeakPuzzle4Puzzle4Puzzle4Puzzle4Puzzle4pickpickdistractionSpeakpickcookpickdistractionPotstopeddistractionSpeakdistractionSpeakpickpickpickpickpickpickcookcook,"{10.7732811,13.1898766,15.2065811,17.0566273}",{36.1228333},{39.08964},"{56.22272,58.589386,59.8227119,61.1392937,62.2560272}","{64.5892944,68.53937,75.3056946,77.18927,80.27227,80.27227}",1.916.624,"{2,0}","-20,639,842,205,646","-18,2898620,7230530,97292-47,9562449,3894469,83921",,8.632.998,321.682.477,"{0,0,1,3,12,2}",0,0,1,3,12,2,4.466.535,"24,165,955","20,167,045","18,500,462","20,167,045","2,366,666","12,333,259","13,165,818","11,207,063","127,495,385","39,500,756","67,663,246","18,835,754",8027149811,0,"39,500,756"
77,43,Puzzle1Puzzle1Puzzle1Puzzle1Puzzle1distractioAlarmStartedpuzzle2puzzle2distractionPotStartedpuzzle2pickpuzzle3puzzle2pickpuzzle3Puzzle4Puzzle4Puzzle4Puzzle4Puzzle4pickdistractionPotstopedpickdistractionAlarmstopedpickpickpickcookpickpickpickpickpickpickcookcook,"{1559.29358,1562.79358,1570.79346,1574.02661}",{1593.30981},"{-1617.8761,1659.79211}","{1681.0752,1686.30859,1693.89185,1695.35828,1697.175}","{1729.27478,1735.808,1752.87439,1763.75769,1767.82422,1767.82422}",109.996.815,"{0,1}","-15,895,931,720,475","-1,593,711,719,425",,38.966.053,199.169.178,"{1,0,2,3,10,0}",1,0,2,3,10,0,239.337.578,"3,5","799,988","323,315","3,5","523,339","758,326","146,643","164,172","3,437,555","653,322","1,706,639","108,833","176780658,2",0,"108,833"
