clicks,input_forward,input_backward,input_left,input_right,session_duration,completion_progress,escaped,riddle_1_mean,riddle_1_std,riddle_1_min,riddle_1_max,riddle_1_count,riddle_2_mean,riddle_2_std,riddle_2_min,riddle_2_max,riddle_2_count,riddle_3_mean,riddle_3_std,riddle_3_min,riddle_3_max,riddle_3_count,riddle_4_mean,riddle_4_std,riddle_4_min,riddle_4_max,riddle_4_count,riddle_5_mean,riddle_5_std,riddle_5_min,riddle_5_max,riddle_5_count,ommision_1,ommision_2,ommision_3,ommision_4,ommision_5,ommision_6,commision_1,commision_2,commision_3,distraction_1_timestamps_first,distraction_1_timestamps_last,distraction_1_timestamps_mean,distraction_1_timestamps_std,distraction_1_timestamps_min,distraction_1_timestamps_max,distraction_1_timestamps_count,distraction_2_timestamps_first,distraction_2_timestamps_last,distraction_2_timestamps_mean,distraction_2_timestamps_std,distraction_2_timestamps_min,distraction_2_timestamps_max,distraction_2_timestamps_count,distraction_3_timestamps_first,distraction_3_timestamps_last,distraction_3_timestamps_mean,distraction_3_timestamps_std,distraction_3_timestamps_min,distraction_3_timestamps_max,distraction_3_timestamps_count,has_adhd
33.0,6.733301,0.830925167,2.37752056,2.314722,38.34,100.0,1.0,8.054220345000001,1.621075721761651,5.76163864,10.1667671,4.0,16.9948014,1.6646660811266392,15.388833,19.28853,3.0,19.4341297,0.2306136999999992,19.203516,19.6647434,2.0,23.84362754,1.1628038293170937,22.1595821,25.4667568,5.0,35.144678042857144,3.3313928827910364,29.0115776,38.3372879,7.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,2.374036,4.447627,2.848883,0.0,2.848883,2.848883,1.0,1.543304,30.56042,15.418656555555556,8.500555742699877,2.9503,29.61902,27.0,1.543304,30.56042,15.418656555555556,8.500555742699877,2.9503,29.61902,27.0,0.0
33.0,7.905987,1.25446165,3.284479,3.185334,46.33,100.0,1.0,12.860545675,2.1473834316508587,9.90214,15.6098,4.0,21.75947,1.390884400000001,20.3685856,23.1503544,2.0,24.70942785,0.1975755499999998,24.5118523,24.9070034,2.0,28.609539559999995,1.0356009560057573,27.1374264,30.0962276,5.0,42.75076719999999,3.6678451749259287,37.133213,46.3314476,7.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,6.736243,44.47307,34.99026,0.0,34.99026,34.99026,1.0,6.123055,34.14752,23.588683,0.0,23.588683,23.588683,1.0,6.123055,34.14752,23.588683,0.0,23.588683,23.588683,1.0,0.0
28.0,9.80281448,1.37529922,3.77990437,5.22036362,62.51,100.0,1.0,25.11129565,2.478992051146538,21.4664,28.2494621,4.0,33.736696249999994,0.4767017500000001,33.2599945,34.213398,2.0,36.88101,0.0,36.88101,36.88101,1.0,43.21529352,2.133395341414644,39.26174,45.381424,5.0,58.7309618,4.296770483054588,51.6531219,62.5087852,7.0,0.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,17.81912,55.75136,45.069914,6.663789178455756,34.45525,53.05427,5.0,9.619,1.669,1462.5069554292324,51.19185207504015,1397.5529385833331,1537.7979285833335,0.0,9.619,1.669,1462.5069554292324,51.19185207504015,1397.5529385833331,1537.7979285833335,0.0,0.0
29.0,7.711267,1.44355214,2.04764867,4.2364397,46.14,100.0,1.0,11.03211945,2.4402392933731445,7.419501,14.1262331,4.0,19.35290525,0.4625129500000007,18.8903923,19.8154182,2.0,21.76483,0.0,21.76483,21.76483,1.0,28.78903392,3.447622372272423,24.1696987,32.3048935,5.0,43.61272303333333,3.191171131276352,37.4313622,46.141304,6.0,1.0,0.0,1.0,2.0,11.0,0.0,0.0,1.0,0.0,2.895309,44.86471,25.19827,1.6923600000000008,23.50591,26.89063,2.0,3.726135,27.89197,26.16136,0.0,26.16136,26.16136,1.0,3.726135,27.89197,26.16136,0.0,26.16136,26.16136,1.0,0.0
32.0,6.575501,1.52747071,3.0954237,3.78258467,42.84,100.0,1.0,8.078539,1.876044396812746,5.655751,10.63127,4.0,19.202705166666664,1.0853208124975726,17.9915085,20.62478,3.0,21.19287585,0.6446790500000006,20.5481968,21.8375549,2.0,25.18149356,1.0221404532127207,23.73373,26.6195621,5.0,38.52384612857143,5.008039969239038,30.2892551,42.8388977,7.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,2.858481,40.04784,21.10046,11.287590303535412,11.97833,37.00633,3.0,2.332,2.343,1462.5069554292324,51.19185207504015,1397.5529385833331,1537.7979285833335,0.0,2.332,2.343,1462.5069554292324,51.19185207504015,1397.5529385833331,1537.7979285833335,0.0,0.0
28.0,5.89323,0.726541042,0.8600254,3.07175255,52.38,100.0,1.0,19.25255325,2.674845133867118,15.1571922,22.3637028,4.0,28.89071275,1.5892162499999998,27.3014965,30.479929,2.0,30.6214962,0.2082005000000002,30.4132957,30.8296967,2.0,36.99875134,2.9441860084928666,32.86488,40.2905159,5.0,50.5579519,2.0965881645893285,46.9140778,52.3781052,6.0,2.0,0.0,2.0,2.0,12.0,0.0,0.0,2.0,0.0,9.935628,35.45431,33.19851,0.0,33.19851,33.19851,1.0,8.834,1.358,4.182,0.5509999999999999,3.631,4.733,2.0,8.834,1.358,4.182,0.5509999999999999,3.631,4.733,2.0,0.0
28.0,6.51110458,1.1087836,1.77091062,3.85372519,37.65,100.0,1.0,11.599571275,1.521506511763103,9.582311,13.7187481,4.0,20.11437325,0.4171667499999998,19.6972065,20.53154,2.0,21.48922,0.0,21.48922,21.48922,1.0,24.61867064,1.01200143495392,23.1695175,26.0368958,5.0,35.83273313333333,2.228012559423929,31.6181278,37.6453857,6.0,2.0,0.0,1.0,2.0,9.0,0.0,0.0,2.0,0.0,3.682,2.894,1140.9843408000002,13.933442441938118,1121.8006808666669,1156.9843328666668,0.0,2.97,0.482,1462.5069554292324,51.19185207504015,1397.5529385833331,1537.7979285833335,0.0,2.97,0.482,1462.5069554292324,51.19185207504015,1397.5529385833331,1537.7979285833335,0.0,0.0
48.0,2.34005661,8.516634,1.43168373,1.27166824,1930.83,100.0,1.0,1695.86801,16.95354861514984,1668.01843,1712.83447,4.0,1736.2009666666663,12.118932547036584,1719.08459,1745.51746,3.0,1764.65051,0.0,1764.65051,1764.65051,1.0,1800.8400399999998,2.937356990656742,1796.3667,1804.93335,5.0,1891.873865,41.11707186116843,1833.49963,1930.83167,6.0,3.0,0.0,1.0,5.0,16.0,0.0,0.0,3.0,0.0,1713.701,1915.332,1820.621,57.477358120393774,1736.101,1898.365,4.0,1606.503,1926.665,1767.383857142857,76.51856740300461,1610.236,1862.649,14.0,1606.503,1926.665,1767.383857142857,76.51856740300461,1610.236,1862.649,14.0,0.0
46.0,3.610004,1.53309,0.0,0.0,925.8,100.0,1.0,717.0211750000001,24.70693422334861,689.2215,744.6042,4.0,765.9938142,7.375798008146797,754.1707,774.1537,5.0,814.0699,0.0,814.0699,814.0699,1.0,853.046043,6.3805872911972,842.902832,860.8192,5.0,825.8031,128.89200835132883,598.855957,925.801941,7.0,3.0,0.0,1.0,2.0,17.0,0.0,0.0,3.0,0.0,594.9393,691.5715,640.3386999999999,21.35189120163985,614.3224,666.6216,3.0,562.1064,924.2186,751.1325904761904,92.25474746097612,591.7894,872.0356,21.0,562.1064,924.2186,751.1325904761904,92.25474746097612,591.7894,872.0356,21.0,1.0
30.0,1.78834724,4.30084038,6.915987,8.566755,456.82,100.0,1.0,347.2899015,5.352501911811914,340.635864,355.319,4.0,365.5104525,0.8417205000000081,364.668732,366.352173,2.0,367.268829,0.0,367.268829,367.268829,1.0,386.7452332,5.960300727820919,377.435333,393.00177,5.0,427.7041226666667,20.1431414478328,405.2684,456.8177,6.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,44.465,177.0,124.475,0.0,124.475,124.475,1.0,348.9857,439.3512,401.9064571428571,25.789623226786247,357.2521,432.9347,7.0,348.9857,439.3512,401.9064571428571,25.789623226786247,357.2521,432.9347,7.0,0.0
38.0,9.332947,1.59987271,3.916345,3.2666285,107.93,100.0,1.0,57.1047151,6.265229988915363,49.14643,66.496254,4.0,73.31284,0.0,73.31284,73.31284,1.0,74.76266,0.0,74.76266,74.76266,1.0,83.62940324,3.048259450216073,77.99614,86.82938,5.0,103.58466893333332,4.493020414794957,96.3625946,107.928978,6.0,2.0,0.0,1.0,2.0,11.0,0.0,0.0,2.0,0.0,5.754,9.94633,6.45,0.0,6.45,6.45,1.0,55.46302,104.9124,306.641865,287.1572508366963,80.87937,788.57934,4.0,55.46302,104.9124,306.641865,287.1572508366963,80.87937,788.57934,4.0,0.0
32.0,7.983108,1.2330327,3.08355021,2.850056,122.31,100.0,1.0,28.6647129,4.672076547173184,22.8397884,34.006382,4.0,44.52287295,2.400012949999997,42.12286,46.9228859,2.0,47.8561058,0.0,47.8561058,47.8561058,1.0,77.78246098,8.38317715221146,62.22266,85.60564,5.0,113.32195785714286,6.541571112716063,103.255493,122.305138,7.0,0.0,0.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,7.989993,112.572,77.30586500000001,38.55112128355056,11.40667,109.20551,4.0,769.558,769.558,1462.5069554292324,51.19185207504015,1397.5529385833331,1537.7979285833335,0.0,769.558,769.558,1462.5069554292324,51.19185207504015,1397.5529385833331,1537.7979285833335,0.0,0.0
61.0,1.983403,7.366456,7.38367128,1.07164469,8958.74,100.0,1.0,8753.228749999998,10.548063290836776,8736.658,8765.407,4.0,8783.808,0.0,8783.808,8783.808,1.0,8808.523,0.0,8808.523,8808.523,1.0,8850.093400000002,4.560723346137263,8842.623,8855.323,5.0,8915.183333333332,34.33369877960832,8871.189,8958.738,6.0,6.0,0.0,1.0,5.0,18.0,0.0,0.0,6.0,0.0,8769.925,8933.989,8882.056250000001,44.019526541496326,8820.124,8932.589,8.0,8744.258,8943.455,8838.229166666666,63.11065575219604,8752.842,8943.205,6.0,8744.258,8943.455,8838.229166666666,63.11065575219604,8752.842,8943.205,6.0,0.0
43.0,1.10493841,7.38298941,6.38371658,7.83389568,5406.23,100.0,1.0,5202.4779425,6.8471812617906735,5191.795,5209.878,4.0,5251.414769999999,1.8981814462530924,5248.827,5253.794,4.0,5280.04346,0.0,5280.04346,5280.04346,1.0,5324.406322000001,7.854079198636637,5308.92627,5330.15967,5.0,5384.261748333333,15.396544382858933,5364.426,5406.225,6.0,0.0,0.0,1.0,4.0,17.0,5.0,5.0,0.0,0.0,5184.778,5341.509,5265.735000000001,27.958000000000084,5237.777,5293.693,2.0,5163.695,5362.492,5307.007416666666,48.43513680593578,5229.411,5349.509,12.0,5163.695,5362.492,5307.007416666666,48.43513680593578,5229.411,5349.509,12.0,1.0
33.0,8.632998,1.916624,3.21682477,4.466535,80.27,100.0,1.0,14.056591524999998,2.337413783544751,10.7732811,17.0566273,4.0,36.1228333,0.0,36.1228333,36.1228333,1.0,39.08964,0.0,39.08964,39.08964,1.0,59.60602776,2.0928777010778266,56.22272,62.2560272,5.0,74.36136149999999,5.890039480793642,64.5892944,80.27227,6.0,0.0,0.0,1.0,3.0,12.0,2.0,2.0,0.0,0.0,20.639,64.6,42.205,0.0,42.205,42.205,1.0,18.28986,69.83921,37.2604125,11.984687672186904,20.72305,49.38944,4.0,18.28986,69.83921,37.2604125,11.984687672186904,20.72305,49.38944,4.0,0.0
43.0,3.8966053,1.09996815,1.99169178,2.39337578,1767.82,100.0,1.0,1566.7268075,5.927645585058914,1559.29358,1574.02661,4.0,1593.30981,0.0,1593.30981,1593.30981,1.0,1638.834105,20.95800500000007,1617.8761,1659.79211,2.0,1690.7617839999998,6.094510226354827,1681.0752,1697.175,5.0,1752.8938833333334,15.349495283731272,1729.27478,1767.82422,6.0,1.0,0.0,2.0,3.0,10.0,0.0,0.0,1.0,0.0,15.895,47.5,93.172,0.0,93.172,93.172,1.0,1.593,94.25,71.171,0.0,71.171,71.171,1.0,1.593,94.25,71.171,0.0,71.171,71.171,1.0,0.0
